Field,Value
CHARACTER CARD — Ethan Hyun,
,
CORE PROFILE,
School,Kwon's Taekwondo Academy
Age,15 (→ 17 epilogue)
Nationality,Korean-American
Height,"5'3"" (160 cm)"
Weight,95 lbs (43 kg)
Division,Junior −45 kg (→ Collegiate −58 kg epilogue)
Belt Rank,3rd Dan — silver-letter black belt (only at Kwon's)
Role,Main Character · The Gifted Broken Prodigy
,
MAIN STATS,
Attack,B+
Defense,B
Technique,A
Mobility,A−
Physical,B+
,
SECONDARY STATS,
Strength,B−
Endurance,A
Speed,A−
Reach,B
Tenacity,C
Charisma,B−
,
COMBAT,
Defining Skill,Neverending Endurance
Secondary Skill,Berserker Rage (Arc 5+)
Arc 7 Signature,Ultimate Counter
Favorite Kicks,Outside-In Crescent · Counter Backleg Roundhouse
,
APPEARANCE,
Hair,Dark blue shadow-perm
Eyes,Brown
Gear,Gold headphones · white gear backpack
Casual,Oversized navy hoodie · baggy pants
,
PERSONALITY,
Traits,Quiet · introverted · struggles to trust
,
LOVES,
,Sushi · Pineapple Fanta (yellow can only)
,
DRAMA,
Arc,Surviving Premier abuse; learning to trust Kwon's family
,
FIGHTER CARD TEXT,
Copy-paste,"ETHAN HYUN · Age 15 · 5'3"" · 95 lbs · Junior −45 kg · 3rd Dan · Kwon's"
