Field,Value
CHARACTER CARD — Kieryn Lim,
,
CORE PROFILE,
School,Kwon's Taekwondo Academy
Age,13 (→ 15 epilogue)
Nationality,Korean-American
Height,"5'8"" (173 cm)"
Weight,108 lbs (49 kg)
Division,Cadet −49 kg
Belt Rank,2nd Dan
Sibling,TJ Lim (older brother)
Role,Female Ace · The Sassy Technician
,
MAIN STATS,
Attack,A−
Defense,B
Technique,B−
Mobility,B+
Physical,A
,
SECONDARY STATS,
Strength,C+
Endurance,B−
Speed,C−
Reach,A
Tenacity,B+
Charisma,B
,
COMBAT,
Defining Skill,100 Shadow Kick
Arc 7 Signature,Laser Stab
Favorite Kicks,Cut Kick · Flop Kick
,
FIGHTER CARD TEXT,
Copy-paste,"KIERYN LIM · Age 13 · 5'8"" · 108 lbs · Cadet −49 kg · 2nd Dan · Kwon's"
