Field,Value
CHARACTER CARD — Key Opponents,
,
CH 25 — Derek Cole,
Card text,"DEREK COLE · Age 16 · 5'10"" · 128 lbs · Open −54 kg · 2nd Dan · Apex TKD"
Notes,Spinning hook specialist — Ethan loss Arc 3
,
CH 98 — Kim Min-ho,
Card text,"KIM MIN-HO · Age 17 · 5'11"" · 132 lbs · U20 −58 kg · 3rd Dan · Korea National TC"
Notes,Left shoulder tell before spin
,
CH 99 — Han Do-won,
Card text,"HAN DO-WON · Age 17 · 6'0"" · 158 lbs · U20 −68 kg · 3rd Dan · Korea National TC"
Notes,TJ finals opponent — selected
,
CH 118 — Park Sung-min,
Card text,"PARK SUNG-MIN · Age 21 · 5'10"" · 145 lbs · Collegiate −68 kg · 4th Dan · Yonsei"
Notes,Collegiate final — epilogue
